Valgrækkefølge	Region	Speciale	Enhed	Afdeling	Speciale 2	Område
406	Midtjylland	Kirurgi	Regionshospitalet Gødstrup	Mave- og Tarmkirurgi	Almen medicin	Distrikt Vest
407	Nordjylland	Psykiatri	Psykiatrien Nordjylland, Syd	Almenpsykiatrisk Afdeling, Syd	Almen medicin	Område Region Nordjylland
408	Hovedstaden	Almen medicin	Hovedstaden - Syd	Lægerne Hansen, Møller, Pelvig og Hjortlund	Psykiatri	Psykiatrien Region Hovedstaden
409	Nordjylland	Kirurgi	Aalborg Universitetshospital	Kirurgisk afdeling, afsnit syd Aalborg	Almen medicin	Område Region Nordjylland
410	Hovedstaden	Ortopædisk kirurgi	Nordsjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
411	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
412	Hovedstaden	Ortopædisk kirurgi	Nordsjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
413	Midtjylland	Neurologi	Regionshospitalet Gødstrup	Neurologisk Klinik Gødstrup	Almen medicin	Distrikt Vest
414	Hovedstaden	Kirurgi	Nordsjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
415	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Hjertesygdomme, Aabenraa	Almen medicin	Område Sønderjylland
416	Midtjylland	Neurologi	Hospitalsenhed Midt	Neurologi	Almen medicin	Distrikt Midt
417	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
418	Hovedstaden	Ortopædisk kirurgi	Nordsjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
419	Hovedstaden	Kirurgi	Nordsjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
420	Sjælland	Intern medicin	Sjællands Universitetshospital, Nykøbing F.	Medicinsk afd.	Almen medicin	Område Nykøbing Falster Sygehus
421	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
422	Sjælland	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse	Lægerne Houmand og Grundsøe	Psykiatri	Psykiatrien Region SJ
423	Hovedstaden	Ortopædisk kirurgi	Nordsjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
424	Midtjylland	Urologi	Regionshospitalet Gødstrup	Urinvejskirurgi	Almen medicin	Distrikt Vest
425	Midtjylland	Urologi	Regionshospitalet Gødstrup	Urinvejskirurgi	Almen medicin	Distrikt Vest
426	Sjælland	Kirurgi	Sjællands Universitetshospital	KOE, Kirurgisk afd.	Almen medicin	Område Sjællands Universitetshospital
427	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Gødstrup	Ortopædkirurgi	Almen medicin	Distrikt Vest
428	Sjælland	Kirurgi	Holbæk Sygehus	Kirurgisk afd.	Almen medicin	Område Holbæk Sygehus
429	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Medicinske Sygdomme, Aabenraa	Almen medicin	Område Sønderjylland
430	Nordjylland	Intern medicin	Aalborg Universitetshospital	Lungemedicinsk Afdeling	Almen medicin	Område Region Nordjylland
431	Syddanmark	Kirurgi	Esbjerg Sygehus	Mave- og Tarmsygdomme, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
432	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Hjertesygdomme, Aabenraa	Almen medicin	Område Sønderjylland
433	Sjælland	Kirurgi	Sjællands Universitetshospital	KOE, Kirurgisk afd.	Almen medicin	Område Sjællands Universitetshospital
434	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
435	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme, Sønderborg	Almen medicin	Område Sønderjylland
436	Nordjylland	Kirurgi	Aalborg Universitetshospital	Kirurgisk afdeling, afsnit syd Aalborg	Almen medicin	Område Region Nordjylland
437	Sjælland	Ortopædisk kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
438	Nordjylland	Intern medicin	Aalborg Universitetshospital	Nyremedicinsk afdeling	Almen medicin	Område Region Nordjylland
439	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Medicinske Sygdomme, Aabenraa	Almen medicin	Område Sønderjylland
440	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Gødstrup	Ortopædkirurgi	Almen medicin	Distrikt Vest
441	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Gødstrup	Ortopædkirurgi	Almen medicin	Distrikt Vest
442	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
443	Hovedstaden	Ortopædisk kirurgi	Nordsjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
444	Sjælland	Ortopædisk kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
445	Sjælland	Intern medicin	Holbæk Sygehus	Medicinsk afdeling 1	Almen medicin	Område Holbæk Sygehus
446	Sjælland	Intern medicin	Sjællands Universitetshospital, Nykøbing F.	Medicinsk afd.	Almen medicin	Område Nykøbing Falster Sygehus
447	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
448	Sjælland	Ortopædisk kirurgi	Holbæk Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Holbæk Sygehus
449	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme, Sønderborg	Almen medicin	Område Sønderjylland
450	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Gødstrup	Ortopædkirurgi	Almen medicin	Distrikt Vest
451	Sjælland	Intern medicin	Holbæk Sygehus	Medicinsk afdeling 1	Almen medicin	Område Holbæk Sygehus
452	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
453	Sjælland	Kirurgi	Holbæk Sygehus	Kirurgisk afd.	Almen medicin	Område Holbæk Sygehus
454	Sjælland	Intern medicin	Holbæk Sygehus	Medicinsk afdeling 1	Almen medicin	Område Holbæk Sygehus
455	Syddanmark	Ortopædisk kirurgi	Esbjerg Sygehus	Ortopædkirurgi, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
456	Sjælland	Kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Kirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
457	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
458	Sjælland	Intern medicin	Holbæk Sygehus	Medicinsk afdeling 1	Almen medicin	Område Holbæk Sygehus
459	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme, Sønderborg	Almen medicin	Område Sønderjylland
460	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi, Aabenraa	Almen medicin	Område Sønderjylland
461	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi, Aabenraa	Almen medicin	Område Sønderjylland
462	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
463	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
464	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Bornholm
465	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
466	Sjælland	Ortopædisk kirurgi	Holbæk Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Holbæk Sygehus
467	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
468	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
469	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
470	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
471	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 2 - endokrinologisk afs.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
472	Nordjylland	Ortopædisk kirurgi	Aalborg Universitetshospital	Ortopædkirurgisk afdeling, Aalborg	Almen medicin	Område Region Nordjylland
473	Nordjylland	Ortopædisk kirurgi	Aalborg Universitetshospital	Ortopædkirurgisk afdeling, Aalborg	Almen medicin	Område Region Nordjylland
474	Nordjylland	Kirurgi	Aalborg Universitetshospital	Kirurgisk afdeling, afsnit syd Aalborg	Almen medicin	Område Region Nordjylland
475	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
476	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 1	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
477	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
478	Syddanmark	Ortopædisk kirurgi	Esbjerg Sygehus	Ortopædkirurgi, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
479	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
480	Sjælland	Ortopædisk kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
481	Sjælland	Kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Kirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
482	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi, Aabenraa	Almen medicin	Område Sønderjylland
483	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi, Aabenraa	Almen medicin	Område Sønderjylland
484	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
485	Syddanmark	Neurologi	Esbjerg Sygehus	Hjerne- og Nervesygdomme, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
486	Sjælland	Ortopædisk kirurgi	Sjællands Universitetshospital, Nykøbing F.	Ortopædkirurgisk afd.	Almen medicin	Område Nykøbing Falster Sygehus
487	Nordjylland	Ortopædisk kirurgi	Aalborg Universitetshospital	Ortopædkirurgisk afdeling, Hjørring	Almen medicin	Område Region Nordjylland
488	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
489	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 2 - endokrinologisk afs.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
490	Sjælland	Kirurgi	Holbæk Sygehus	Kirurgisk afd.	Almen medicin	Område Holbæk Sygehus
491	Sjælland	Neurologi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 3 - neurologisk afs.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
492	Sjælland	Ortopædisk kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
493	Sjælland	Kirurgi	Holbæk Sygehus	Kirurgisk afd.	Almen medicin	Område Holbæk Sygehus
494	Syddanmark	Ortopædisk kirurgi	Sygehus Sønderjylland Aabenraa	Ortopædkirurgi, Aabenraa	Almen medicin	Område Sønderjylland
495	Sjælland	Kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Kirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
496	Sjælland	Ortopædisk kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
497	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
498	Nordjylland	Ortopædisk kirurgi	Aalborg Universitetshospital	Ortopædkirurgisk afdeling, Hjørring	Almen medicin	Område Region Nordjylland
499	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme, Sønderborg	Almen medicin	Område Sønderjylland
500	Nordjylland	Psykiatri	Psykiatrien Nordjylland, Syd	Almenpsykiatrisk Afdeling, Syd	Almen medicin	Område Region Nordjylland
501	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
502	Sjælland	Ortopædisk kirurgi	Holbæk Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Holbæk Sygehus
503	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
504	Sjælland	Ortopædisk kirurgi	Holbæk Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Holbæk Sygehus
505	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 1	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
506	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
507	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
508	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme, Sønderborg	Almen medicin	Område Sønderjylland
509	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
510	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
511	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
512	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Hjertesygdomme, Aabenraa	Almen medicin	Område Sønderjylland
513	Sjælland	Akutmedicin	Sjællands Universitetshospital, Nykøbing F.	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
514	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
515	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
516	Sjælland	Ortopædisk kirurgi	Sjællands Universitetshospital, Nykøbing F.	Ortopædkirurgisk afd.	Almen medicin	Område Nykøbing Falster Sygehus
517	Sjælland	Ortopædisk kirurgi	Sjællands Universitetshospital, Nykøbing F.	Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
518	Syddanmark	Ortopædisk kirurgi	Sygehus Sønderjylland Aabenraa	Ortopædkirurgi, Aabenraa	Almen medicin	Område Sønderjylland
519	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
520	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
521	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
522	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi, Aabenraa	Almen medicin	Område Sønderjylland
523	Syddanmark	Ortopædisk kirurgi	Esbjerg Sygehus	Ortopædkirurgi, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
524	Sjælland	Ortopædisk kirurgi	Sjællands Universitetshospital, Nykøbing F.	Ortopædkirurgisk afd.	Almen medicin	Område Nykøbing Falster Sygehus
525	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
526	Sjælland	Ortopædisk kirurgi	Sjællands Universitetshospital, Nykøbing F.	Ortopædkirurgisk afd.	Almen medicin	Område Nykøbing Falster Sygehus
527	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
528	Syddanmark	Kirurgi	Esbjerg Sygehus	Mave- og Tarmsygdomme, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
529	Syddanmark	Urologi	Esbjerg Sygehus	Urinvejskirurgi, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
530	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
531	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
532	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
533	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
534	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Fælles Akut Modtagelse, Aabenraa	Almen medicin	Område Sønderjylland
535	Hovedstaden	Kirurgi	Bornholms Hospital	BOH, Afdeling for Kirurgi	Almen medicin	Hovedstaden - Bornholm
536	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
537	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
538	Nordjylland	Psykiatri	Psykiatrien Nordjylland, Syd	Almenpsykiatrisk Afdeling, Syd	Almen medicin	Område Region Nordjylland
539	Sjælland	Ortopædisk kirurgi	Sjællands Universitetshospital, Nykøbing F.	Ortopædkirurgisk afd.	Almen medicin	Område Nykøbing Falster Sygehus
540	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
541	Syddanmark	Ortopædisk kirurgi	Esbjerg Sygehus	Ortopædkirurgi, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
542	Syddanmark	Kirurgi	Esbjerg Sygehus	Mave- og Tarmsygdomme, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
543	Syddanmark	Kirurgi	Esbjerg Sygehus	Mave- og Tarmsygdomme, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
544	Sjælland	Ortopædisk kirurgi	Sjællands Universitetshospital, Nykøbing F.	Ortopædkirurgisk afd.	Almen medicin	Område Nykøbing Falster Sygehus
545	Syddanmark	Ortopædisk kirurgi	Esbjerg Sygehus	Ortopædkirurgi, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
546	Syddanmark	Ortopædisk kirurgi	Sygehus Sønderjylland Aabenraa	Ortopædkirurgi, Aabenraa	Almen medicin	Område Sønderjylland
547	Syddanmark	Psykiatri	Psykiatrien i Region Syddanmark	Psykiatriske afdeling, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
548	Syddanmark	Ortopædisk kirurgi	Sygehus Sønderjylland Aabenraa	Ortopædkirurgi, Aabenraa	Almen medicin	Område Sønderjylland
549	Syddanmark	Kirurgi	Esbjerg Sygehus	Mave- og Tarmsygdomme, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
