ValgRækkefølge	Region	Speciale	Enhed	Afdeling	Speciale2	Område
430	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
431	Sjælland	Kirurgi	Holbæk Sygehus	Kirurgisk afd.	Almen medicin	Område Holbæk Sygehus
432	Sjælland	Ortopædisk kirurgi	Nykøbing F. Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Nykøbing Falster Sygehus
433	Sjælland	Ortopædisk kirurgi	Nykøbing F. Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
434	Sjælland	Intern medicin	Nykøbing F. Sygehus	Medicinsk afd.	Almen medicin	Område Nykøbing Falster Sygehus
435	Sjælland	Akutmedicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Akutafdeling	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
436	Nordjylland	Ortopædisk kirurgi	Aalborg Universitetshospital	Ortopædkirurgisk Afd., Aalborg	Almen medicin	Område Region Nordjylland
437	Nordjylland	Kirurgi	Aalborg Universitetshospital	Kir. Afd, afsnit syd, Aalborg	Almen medicin	Område Region Nordjylland
438	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk afd.	Almen medicin	Område Region Nordjylland
439	Sjælland	Ortopædisk kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
440	Sjælland	Kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Kirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
441	Syddanmark	Ortopædisk kirurgi	Sygehus Sønderjylland Aabenraa	Ortopædkirurgi	Almen medicin	Område Sønderjylland
442	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Fælles Akut Modtagelse	Almen medicin	Område Sønderjylland
443	Sjælland	Kirurgi	Holbæk Sygehus	Kirurgisk afd.	Almen medicin	Område Holbæk Sygehus
444	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 2 - endokrinologisk afs.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
445	Nordjylland	Kirurgi	Regionshospital Nordjylland	Kir. Område	Almen medicin	Område Region Nordjylland
446	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
447	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
448	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
449	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Hjertesygdomme	Almen medicin	Område Sønderjylland
450	Nordjylland	Intern medicin	Aalborg Universitetshospital	Lungemed. Afd.	Almen medicin	Område Region Nordjylland
451	Nordjylland	Kirurgi	Aalborg Universitetshospital	Kir. Afd, afsnit syd, Aalborg	Almen medicin	Område Region Nordjylland
452	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
453	Sjælland	Akutmedicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Akutafdeling	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
454	Sjælland	Ortopædisk kirurgi	Nykøbing F. Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Nykøbing Falster Sygehus
455	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi	Almen medicin	Område Sønderjylland
456	Nordjylland	Intern medicin	Aalborg Universitetshospital	Hæmatologisk Afd.	Almen medicin	Område Region Nordjylland
457	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
458	Sjælland	Ortopædisk kirurgi	Nykøbing F. Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
459	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 3 - geriatrisk afs.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
460	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi	Almen medicin	Område Sønderjylland
461	Sjælland	Ortopædisk kirurgi	Nykøbing F. Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Nykøbing Falster Sygehus
462	Sjælland	Intern medicin	Nykøbing F. Sygehus	Medicinsk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
463	Sjælland	Intern medicin	Holbæk Sygehus	Medicinsk afd. 	Almen medicin	Område Holbæk Sygehus
464	Sjælland	Intern medicin	Holbæk Sygehus	Medicinsk afd. 	Almen medicin	Område Holbæk Sygehus
465	Syddanmark	Kirurgi	Sydvestjysk Sygehus Esbjerg	Mave- og Tarmsygdomme	Almen medicin	Område Sydvestjylland (Ribe)
466	Nordjylland	Neurologi	Aalborg Universitetshospital	Neurologisk Afd.	Almen medicin	Område Region Nordjylland
467	Sjælland	Intern medicin	Holbæk Sygehus	Medicinsk afd. 	Almen medicin	Område Holbæk Sygehus
468	Sjælland	Kirurgi	Holbæk Sygehus	Kirurgisk afd.	Almen medicin	Område Holbæk Sygehus
469	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Gødstrup	Ortopædkirurgi  	Almen medicin	Distrikt Vest
470	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
471	Syddanmark	Kirurgi	Sydvestjysk Sygehus Esbjerg	Mave- og Tarmsygdomme	Almen medicin	Område Sydvestjylland (Ribe)
472	Syddanmark	Ortopædisk kirurgi	Sydvestjysk Sygehus Esbjerg	Ortopædkirurgi	Almen medicin	Område Sydvestjylland (Ribe)
473	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
474	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi	Almen medicin	Område Sønderjylland
475	Sjælland	Intern medicin	Holbæk Sygehus	Medicinsk afd. 	Almen medicin	Område Holbæk Sygehus
476	Sjælland	Akutmedicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Akutafdeling	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
477	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
478	Sjælland	Akutmedicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Akutafdeling	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
479	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
480	Sjælland	Ortopædisk kirurgi	Holbæk Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Holbæk Sygehus
481	Midtjylland	Neurologi	Regionshospitalet Gødstrup	Neurologisk Klinik Gødstrup 	Almen medicin	Distrikt Vest
482	Midtjylland	Urologi	Regionshospitalet Gødstrup	Urinvejskirurgi  	Almen medicin	Distrikt Vest
483	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
484	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi	Almen medicin	Område Sønderjylland
485	Nordjylland	Ortopædisk kirurgi	Aalborg Universitetshospital	Ortopædkirurgisk afd., Hjørring	Almen medicin	Område Region Nordjylland
486	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
487	Sjælland	Ortopædisk kirurgi	Holbæk Sygehus	Ortopædkirurgisk afd.	Almen medicin	Område Holbæk Sygehus
488	Syddanmark	Urologi	Sydvestjysk Sygehus Esbjerg	Urinvejskirurgi	Almen medicin	Område Sydvestjylland (Ribe)
489	Syddanmark	Ortopædisk kirurgi	Sygehus Sønderjylland Aabenraa	Ortopædkirurgi	Almen medicin	Område Sønderjylland
490	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
491	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
